Hierarchy_MTR_Class	CSCD_ID	FULL_NAME/ru_RU
2002220600000000	3117191	Прокладка Y751-40281
2002220600000000	3117192	Прокладка Y753-47171
2002220600000000	3117200	Прокладка рифленая SS304L, JT2
2002220600000000	2138695	Кольцо уплотнительное G1/2, М20х1,5, ПМБ, 18x6x3мм
2017010301030000	2118010	Наконечник для резака РЗП-02
2002220600000000	3117201	Прокладка рифленая SS304L, JT3
2017010301030000	3469063	Клапан КОГ G 3/8 (950.000.29)
2017010301030000	2144004	Рампа разрядная азотная
2002220600000000	3117216	Сальник 1, 14
2002220600000000	3680712	Уплотнение d22,5х26
2002220600000000	3117217	Сальник 2, 34
2002220600000000	3117218	Сальник 46
2002220600000000	3117219	Сальник 56757939190000
2002220600000000	3117220	Сальник 56757949190000
2017010301030000	3210915	Вентиль ВК-94-01 исполнение 03
2002220600000000	3117221	Сальник 56757989190000
2002220600000000	3117222	Сальник 56758039190000
2002220600000000	3117223	Сальник 56758099190000
2010040101010000	2284130	Электропривод без пружинного возрата Lufberg DA04N220
2017010301030000	3469064	Клапан огнепреградительный горючий газ КОГ Сварог М16х1.5LH
2010029900000000	2293061	Арматура нагнетательная АН2 АНК-11-65/65-21-Р-180-В7З-К2-ЕЕ-2-ЗМС-ЗДШ-КОТ-У-ЭК168
2010010501000000	2218374	Задвижка 30лс515нж1 DN250 PN40 КОФ У1
2006010210000000	2241056	Насос двухступенчатый вакуумный CPS VP8DE
2017010301030000	3210920	Редуктор БРВД-250-150
2010029900000000	2293063	Арматура нагнетательная АН9 К-12-65/65-21-Ф-180/230-Г73-К2-ЕЕ-2-ЗД-ЗДШ-КОТ-УХЛ
2017010301030000	3469090	Клапан огнепреградительный газовый к редуктору КОГ M16x1.5 Gigant GT-099
2017010301030000	2113428	Редуктор баллонный кислородный одноступенчатый БКО-50-2
2017010301030000	2217393	Клапан вентиля кислородного ВК-94
2017010301030000	2272907	Редуктор кислородный РК-70
2010029900000000	2293064	Арматура нагнетательная АН4 АНК-11-65/65-21-Р-180-Г73-К1-ВВ-1-ЗД-ЗДШ-КОТ-УХЛ-ЭК146
2013010302000000	3012752	Труба обсадная ОТТМ 101,6Х6,5-Дс ТУ 14-3Р-30-2015 с уменьшенными муфтами 110 мм
2015010300000000	2331093	Рукав буровой DN50 PN25 с БРС L-6м
2001020603000000	2377078	Пескосепаратор скважинный гравитационный ПСГ-02-60-40
2002220600000000	3117224	Сальник 6
2012010102030000	2224563	Двутавр 20Б1 ГОСТ 57837-2017 С345-6 ГОСТ 27772-2015
2007081400000000	2383534	Блок ввода/вывода 8 каналов пост.тока DET-Tronix Солар Taurus 70 EQ3700DW
2012020100000000	2241485	Металлорукав DN50 PN25 L7000 RS331L12.M В3Л.Ч ГОСТ 33259-2015
2002220600000000	3117246	Уплотнение 109
2002220600000000	3117247	Уплотнение 170
2002130401030000	3041095	Теплообменник рекуперативный Т-4
2002130401030000	3041096	Теплообменник рекуперативный Т-5
2002130401030000	3041098	Теплообменник рекуперативный Т-7
2002130401030000	3386118	Теплообменник кожухотрубчатый 1-EW-3001/1,2
2002220600000000	3117248	Уплотнение механическое A-PE-GMC-003138
2002130401030000	3386120	Теплообменник кожухотрубчатый 1-EW-3005/3,4
2002130401030000	3386122	Теплообменник кожухотрубчатый 1-EW-3007/1,2
2002130401030000	3386123	Теплообменник кожухотрубчатый 1-EW-3010/1,2
2002130401030000	3386124	Теплообменник кожухотрубчатый 1-EW-3012/1,2
2002220600000000	3117249	Уплотнение механическое A-PE-GMC-003139
2002130401030000	3386155	Теплообменник кожухотрубчатый 1-ЕW-2002/1,2
2002130401030000	3386158	Теплообменник кожухотрубчатый 1-ЕW-3002/1,2
2002130401030000	3386159	Теплообменник кожухотрубчатый 1-ЕW-3011/1,2
2002130401030000	3196082	Теплообменник регенерированного раствора МДЭА 12-Е5002
2002130401030000	3436696	Теплообменник С 372
2002130401030000	1471209	Теплообменник кожухотрубчатый Т-131
2002220600000000	3117250	Уплотнение механическое A-PE-GMC-003152
2002220600000000	3117251	Уплотнение механическое TO506.8-5.33VIT
2002220600000000	3714786	Прокладка уплотнительная из терморасширенного графита ПУТГм-09-04-1094х1058-3,0-221
2013050101020000	2148002	Труба PVC DN50 PN16 L-6000 мм (м)
2013050101020000	2148003	Труба PVC DN32 PN16 L-6000 мм (м)
2013050101020000	3096834	Труба ППР 20мм 4м PN20 зеленая стекловолокно
2013050101020000	2201373	Труба ПЭ 100 SDR 13,6-25х2,0 м с полосой 110 м
2013050101020000	2113663	Труба полипропиленовая d25мм
2002220600000000	3684515	Накладка радиусная ТС.03
2013050101020000	2115380	Труба металлопластиковая Henco 32х3,0
2013050101020000	3287822	Труба ПНД 20х2,0 мм ПЭ80 SDR11 12,5 атм
2013050101020000	3187441	Труба стеклопластиковая FS (СПТ) DN75х7,5-PN5,2-60гр С
2013050101020000	3187448	Труба стеклопластиковая FS (СПТ) DN121x10-PN5,2 60гр С
2013050101020000	3385415	Труба ПЭ100 SDR17 32х2,4 питьевая
2013050101020000	3691712	Труба ПВХ гибкая гофрированная 20мм, легкая с протяжкой, серый
2013050101020000	3691713	Труба ПНД гофрированная 20мм, легкая с зондом, безгалогенная (HF), стойкая к ультрафиолету, цвет черный
2002220600000000	3072343	Прокладка опоры Alfa T2FB DN50 11-BDV-003
2013050101020000	3557035	Труба PVC-U 25х1,9х5000 DN16 Lareter la2516
2013050101020000	3557036	Труба PVC-U 32х2,4х5000 PN16 Lareter la3216
2013050101020000	3557037	Труба PVC-U 40х3,0х5000 PN16 Lareter la4016
2013050101020000	3557038	Труба PVC-U 50х3,7х5000 PN16 Lareter la5016
2013050101020000	3557039	Труба PVC-U 63х4,7х3000 PN16 AV6316
2013050101020000	3505926	Труба металлопластиковая PE-RT/AL/PE 20x2,0 FV-Plast (м)
2013050101020000	2112153	Труба полипропиленовая d20
2009041100000000	3715651	Набор ручных метчиков и плашек UNC1/4"-UNC1.1/2" 013904555, 65 предметов
2009041100000000	3715658	Набор ручных метчиков и плашек NPT 1/8-1" HSS 013904580
2009041100000000	2132365	Метчик ловильный нарезной МЛ 32х72 Л резьба 3-86 Л
2009041100000000	3734949	Метчик машинно-ручной К1/4 NPT для конической резьбы
2009041100000000	3734951	Метчик машинно-ручной К3/8 NPT
2009041100000000	3734952	Метчик машинно-ручной К1/2 NPT
2009041100000000	2167920	Набор метчиков и плашек ЗУБР артикул 28110-Н65
2013010302000000	3637446	Труба обсадная 762x25,4х12000 Х65 ГОСТ 3183-2015 с коннектором TMK UP MOLOT в комплекте подъемные патрубки (комплект)
2008040000000000	2284157	Уровнемер микроволновый контактный Vega VEGAFLEX FX81.ADBTFHHXWDAX
2009041100000000	3610475	Метчик машинный М10 HSSE DIN 371
2002220600000000	2160975	Прокладка ПУТГ-600-05-50х25-3,0-020
2009041100000000	3610472	Метчик машинный сквозной М10 HSSE DIN 371
2009041100000000	3610473	Метчик машинный сквозной М12 HSSE DIN 376
2013010302000000	2147737	Труба обсадная OMK POLAR 177,80х8,05-R2-P110-S-RC-PSL-1 со специальной отделкой концов с резьбовым соединением, ГОСТ 31446-2017
2009041100000000	3610476	Метчик машинный М20 HSSE DIN 376
2002220600000000	3623395	Кольцо уплотнительное 1KAU2 О-Ring 329, 2"х2 3/8", 75 Shore A, Black, 10 PK, U38871.018.0200
2009041100000000	3610453	Метчик машинный М27 6H HSSE-V3 DIN 376
2009041100000000	3610456	Метчик машинный М30 6H HSSE-V3 DIN 376
2002220600000000	3623396	Кольцо уплотнительное 1KAH3 О-Ring 234, 3"х3 1/4", 75 Shore A, Black, 10 PK, U38871.012.0300
2009041100000000	3610459	Метчик машинный М33 6H HSSE-V3 DIN 376
2002220600000000	3588895	Прокладка ф 18х6х2 Фторопласт
2002220600000000	3623397	Кольцо уплотнительное 1BYD5 О-Ring 028, 1 3/8"х1 1/2", 75 Shore A, Black, 50 PK, U38871.006.0137
2009041100000000	3610461	Метчик машинный М36 6H HSSE-V3 DIN 376
2002220600000000	3588896	Прокладка ф1188х1150х3 ст.08Х18Н10Т
2009041100000000	3610468	Метчик машинный М39 6H HSSE-V3 DIN 376
2002220600000000	3623398	Кольцо уплотнительное 1KAH9 О-Ring 240, 3 3/4"х4", 75 Shore A, Black, 5 PK, U38871.012.0375
2002220600000000	3588897	Прокладка ф18х6х2мм фторопласт
2009041100000000	3610474	Метчик машинный глухой М8 HSSE DIN 371
2002220600000000	3588898	Прокладка Ф2220х2180х3 12Х18Н10Т эскиз
2009041100000000	3610471	Метчик машинный сквозной М8 HSSE DIN 371
2002220600000000	3588899	Прокладка ф22хф8-2 М1
2009041100000000	3610450	Метчик машинно-ручной глухой правый М24х3 HSS
2002220600000000	3588900	Прокладка ф31х21х2,5мм медь
2002220600000000	3588901	Прокладка ф35х27х2мм медь
2009041100000000	3610451	Метчик машинно-ручной глухой правый М27х3 HSS
2002220600000000	3588902	Прокладка Ф4 Ф120хФ105х3
2002220600000000	3588903	Прокладка Ф-4 ф30хф18х3
2002220600000000	3588904	Прокладка Ф4 ф65хф51х3
2002220600000000	3588905	Прокладка Ф4 Ф70ХФ53Х2
2002220600000000	3588906	Прокладка Ф4 Ф83,1-Ф73,5х2
2002220600000000	3588907	Прокладка Ф-4 ф88хф72х3
2002220600000000	3588908	Прокладка ф8 310,3х294.3 12Х18Н10Т
2002220600000000	3588909	Прокладка фторопласт 18*6*3
2002220600000000	3588910	Прокладка фторопласт 18х10х3
2002220600000000	3588911	Прокладка фторопласт Ф17х7 2,5 ?=2,5
2002220600000000	3588912	Прокладка ФТОРОПЛАСТ Ф4 Ф26Х18Х6
2002220600000000	3588913	Прокладка ФТОРОПЛАСТ Ф4 Ф57Х40Х2
2002220600000000	3588914	Прокладка фторопласт ф4 Ф59хФ41х3
2013010302000000	3134374	Труба обсадная ОТТМ 101,6Х6,5-Ес ТУ 14-3Р-30-2015 с уменьшенными муфтами 110 мм
2002220600000000	3588915	Прокладка ФТОРОПЛАСТ Ф4 Ф76Х60Х2
2002220600000000	3588916	Прокладка ФТОРОПЛАСТ Ф42Х22Х3
