| Класс (Hierarchy_MTR_Class) | Название класса | Атрибуты для краткого наименования | Атрибуты для полного наименования |
|-----------------------------|------------------|-----------------------------------|-----------------------------------|
| 701090900000000 | Мебель и предметы интерьера | Тип, Название, Габариты | Тип, Название, Габариты, Материал столешницы, Материал корпуса, Цвет, Комплектация |
| 701060600000000 | Прочая печатная продукция | Тип, Название | Тип, Название, Назначение, Область применения |
| 701060300000000 | Книги | Тип, Название | Тип, Название, Содержание, Издательство |
| 702080500000000 | Конфеты | Тип, Бренд, Название, Вес | Тип, Бренд, Название, Состав, Вес |
| 701090700000000 | Хозяйственные товары | Тип, Назначение, Габариты | Тип, Назначение, Материал, Покрытие, Цвет, Комплектация |
| 701090600000000 | Бытовая техника | Тип, Бренд, Модель | Тип, Бренд, Модель, Комплектация, Аксессуары |
| 701071000000000 | Шампуни/кондиционеры | Тип, Бренд, Название, Назначение | Тип, Бренд, Название, Назначение, Состав, Объем |
| 701110300000000 | Цветы | Тип, Назначение | Тип, Назначение, Состав смеси, Процентное содержание |
| 701110700000000 | Прочие непродовольственные товары | Тип, Название, Габариты | Тип, Название, Габариты, Комплектация, Сертификаты |
| 701080800000000 | Игрушки | Тип, Бренд, Название, Артикул | Тип, Бренд, Название, Артикул, Комплектация, Особенности |
| 702080300000000 | Шоколадные плитки | Тип, Бренд, Название, Вес | Тип, Бренд, Название, Состав, Вкус, Вес |
| 701030300000000 | Обязательные автопринадлежности | Тип, Назначение, Кол-во предметов | Тип, Назначение, Кол-во предметов, Комплектация |
| 701080600000000 | Аудио-видео продукция | Тип, Бренд, Модель, Цвет | Тип, Бренд, Модель, Цвет, Комплектация |
| 701090800000000 | Прочие бытовые товары | Тип, Назначение, Габариты | Тип, Назначение, Габариты, Материал, Комплектация |
| 701050400000000 | Средства первой помощи | Тип, Назначение | Тип, Назначение, Область применения |
| 701060200000000 | Журналы | Тип, Назначение | Тип, Назначение, Формат, Кол-во листов |
| 701030200000000 | Принадлежности для мойки и чистки а/м | Тип, Бренд, Модель | Тип, Бренд, Модель, Особенности, Функции |
| 701060800000000 | Этикетки для готовой продукции | Тип, Назначение, Объем | Тип, Назначение, Объем, Акция, Технические условия |
| 702140200000000 | Прочие продовольственные товары | Тип, Бренд, Название, Вес | Тип, Бренд, Название, Состав, Назначение, Вес |
| 701110500000000 | Канцелярские товары | Тип, Материал, Плотность, Размер | Тип, Материал, Плотность, Размер, Особенности печати |
| 703000000000000 | Смешанные комплекты | Тип, Назначение, Возраст | Тип, Назначение, Возраст, Состав набора |
| 701090300000000 | Посуда | Тип, Бренд, Кол-во предметов | Тип, Бренд, Кол-во предметов, Состав, Материал |
| 701060400000000 | Каталоги/Руководства | Тип, Название | Тип, Название, Язык, Издательство, Год |
| 701080400000000 | Спортивные товары | Тип, Назначение, Размер | Тип, Назначение, Размер, Комплектация |
| 702060600000000 | Мороженое | Тип, Бренд, Вкус, Вес | Тип, Бренд, Вкус, Состав, Вес |
| 702040200000000 | Кофе и чай | Тип, Бренд, Название, Вес | Тип, Бренд, Название, Состав, Назначение, Вес |
| 701071400000000 | Прочие средства косметики и личной гигиены | Тип, Бренд, Назначение, Кол-во | Тип, Бренд, Назначение, Кол-во, Состав, Объем |
| 702110400000000 | Соломка/сухари | Тип, Бренд, Вкус, Вес | Тип, Бренд, Вкус, Состав, Вес, Комплектация |
| 701030400000000 | Инструменты, измерительные приборы | Тип, Назначение, Номер | Тип, Назначение, Номер, Комплектация, Особенности |
| 701071100000000 | Пены/Гели | Тип, Назначение | Тип, Назначение, Состав набора |
| 702081400000000 | Мармелад/жевательные конфеты | Тип, Бренд, Название, Вес | Тип, Бренд, Название, Вкус, Вес |
| 701090200000000 | Средства по уходу за обувью | Тип, Назначение | Тип, Назначение, Состав набора, Объем |
| 701130400000000 | Вэйпы одноразового использования | Тип, Бренд, Вкус, Кол-во затяжек | Тип, Бренд, Вкус, Кол-во затяжек, Особенности |
| 701110100000000 | Сувениры | Тип, Назначение, Артикул | Тип, Назначение, Артикул, Комплектация, Брендирование |
| 701110200000000 | Товары для животных в т.ч. корма | Тип, Бренд, Назначение, Вес | Тип, Бренд, Назначение, Состав, Вес |
| 701060500000000 | Атласы, Карты | Тип, Название, Масштаб | Тип, Название, Масштаб, Размер, Материал |
| 701050100000000 | Лекарства | Тип, Бренд, Название, Объем | Тип, Бренд, Название, Назначение, Объем |
| 702081000000000 | Вафли | Тип, Бренд, Вкус, Вес | Тип, Бренд, Вкус, Состав, Вес |
| 701020000000000 | Автохимические жидкости (не нефтехимия) | Тип, Бренд, Назначение | Тип, Бренд, Назначение, Комплектация |
| 701050500000000 | Прочие аптечные товары | Тип, Бренд, Назначение | Тип, Бренд, Назначение, Размер, Технические условия |
| 702080400000000 | Шоколадные батончики | Тип, Бренд, Назначение, Вес | Тип, Бренд, Назначение, Состав, Вес |
| 701030500000000 | Прочие автоаксессуары | Тип, Характеристики | Тип, Характеристики, Материал, Класс защиты |
| 702081300000000 | Карамель | Тип, Бренд, Название, Вес | Тип, Бренд, Название, Вкус, Вес |
| 702030700000000 | Прочие безалкогольные напитки | Тип, Бренд, Объем | Тип, Бренд, Состав, Объем |
| 701080900000000 | Прочие товары для отдыха и досуга | Тип, Назначение, Кол-во предметов | Тип, Назначение, Кол-во предметов, Комплектация |
| 702070400000000 | Напитки молочные и кисломолочные | Тип, Бренд, Вкус, Вес | Тип, Бренд, Вкус, Состав, Жирность, Вес |
| 702070500000000 | Йогурты/пудинги/творожки/десерты | Тип, Бренд, Вкус, Вес | Тип, Бренд, Вкус, Состав, Жирность, Вес |
| 702131400000000 | Комплекты продукции кафе | Тип, Назначение | Тип, Назначение, Состав набора |
| 702030200000000 | Напитки газированные | Тип, Бренд, Вкус, Объем | Тип, Бренд, Вкус, Объем, Тип упаковки |
| 702070700000000 | Прочая молочная продукция | Тип, Бренд, Вкус, Вес | Тип, Бренд, Вкус, Состав, Жирность, Вес |
| 702030100000000 | Минеральные и питьевые воды | Тип, Бренд, Вкус, Объем | Тип, Бренд, Вкус, Объем, Тип упаковки |
| 701090400000000 | Элементы питания | Тип, Бренд, Модель | Тип, Бренд, Модель, Комплектация |
| 702080700000000 | Печенье/крекеры | Тип, Бренд, Название, Вес | Тип, Бренд, Название, Состав, Вес |
| 701090500000000 | Бытовая химия | Тип, Бренд, Назначение, Кол-во | Тип, Бренд, Назначение, Кол-во, Артикул |
| 701090100000000 | Одежда и обувь | Тип, Назначение, Модель | Тип, Назначение, Модель, Описание |
| 702140300000000 | Продовольственные комплекты | Тип, Назначение, Модель, Вес | Тип, Назначение, Модель, Вес |
| 701080300000000 | Мангалы/Аксессуары | Тип, Назначение | Тип, Назначение, Комплектация |
| 702030300000000 | Напитки энергетические | Тип, Бренд, Объем | Тип, Бренд, Состав, Объем, Тип упаковки |
| 702070600000000 | Сыры | Тип, Бренд, Название, Жирность, Вес | Тип, Бренд, Название, Состав, Жирность, Вес |
| 701070900000000 | Мыло | Тип, Бренд, Назначение, Объем | Тип, Бренд, Назначение, Состав, Объем |
| 702030600000000 | Напитки сокосодержащие | Тип, Бренд, Вкус, Объем | Тип, Бренд, Вкус, Состав, Объем |
| 702110500000000 | Орехи/сухофрукты/цукаты | Тип, Бренд, Название, Вес | Тип, Бренд, Название, Состав, Вес |
| 701070400000000 | Средства для ухода за полостью рта | Тип, Бренд, Назначение | Тип, Бренд, Назначение, Комплектация |
| 702130800000000 | Бутерброды и сэндвичи | Тип, Название, Вес | Тип, Название, Состав, Вес |
| 702050100000000 | Консервы из рыбы и морепродуктов | Тип, Название, Вес | Тип, Название, Состав, Вес, Производитель |
| 701070600000000 | Кремы | Тип, Бренд, Назначение, Объем | Тип, Бренд, Назначение, Объем, Тип кожи |
| 702081200000000 | Прочие кондитерские и хлебобулочные изделия | Тип, Назначение, Размер | Тип, Назначение, Размер, Брендирование |
| 702030500000000 | Чай холодный | Тип, Бренд, Вкус, Объем | Тип, Бренд, Вкус, Состав, Объем |
| 701040600000000 | Фильтры | Тип, Назначение, Модель | Тип, Назначение, Модель, Совместимость |
| 701130300000000 | Табачные аксессуары | Тип, Бренд, Вкус, Кол-во затяжек | Тип, Бренд, Вкус, Кол-во затяжек, Назначение |
| 701070300000000 | Аксессуары для бритья | Тип, Бренд, Назначение, Объем | Тип, Бренд, Назначение, Комплектация, Объем |
| 702050300000000 | Овощные консервы | Тип, Бренд, Название, Объем | Тип, Бренд, Название, Состав, Объем |
| 702080100000000 | Жевательные резинки | Тип, Бренд, Вкус, Вес | Тип, Бренд, Вкус, Особенности, Вес |
| 702030400000000 | Соки/Нектары/Морсы | Тип, Бренд, Название | Тип, Бренд, Название, Состав, Процент содержания сока |
| 701071300000000 | Туалетная бумага | Тип, Бренд, Название, Кол-во слоев, Кол-во | Тип, Бренд, Название, Кол-во слоев, Кол-во, Особенности |
